"stname","countyfp","state","county","popestimate2019"
"Alabama",1000,1,0,4903185
"Alabama",1001,1,1,55869
"Alabama",1003,1,3,223234
"Alabama",1005,1,5,24686
"Alabama",1007,1,7,22394
"Alabama",1009,1,9,57826
"Alabama",1011,1,11,10101
"Alabama",1013,1,13,19448
"Alabama",1015,1,15,113605
"Alabama",1017,1,17,33254
"Alabama",1019,1,19,26196
"Alabama",1021,1,21,44428
"Alabama",1023,1,23,12589
"Alabama",1025,1,25,23622
"Alabama",1027,1,27,13235
"Alabama",1029,1,29,14910
"Alabama",1031,1,31,52342
"Alabama",1033,1,33,55241
"Alabama",1035,1,35,12067
"Alabama",1037,1,37,10663
"Alabama",1039,1,39,37049
"Alabama",1041,1,41,13772
"Alabama",1043,1,43,83768
"Alabama",1045,1,45,49172
"Alabama",1047,1,47,37196
"Alabama",1049,1,49,71513
"Alabama",1051,1,51,81209
"Alabama",1053,1,53,36633
"Alabama",1055,1,55,102268
"Alabama",1057,1,57,16302
"Alabama",1059,1,59,31362
"Alabama",1061,1,61,26271
"Alabama",1063,1,63,8111
"Alabama",1065,1,65,14651
"Alabama",1067,1,67,17205
"Alabama",1069,1,69,105882
"Alabama",1071,1,71,51626
"Alabama",1073,1,73,658573
"Alabama",1075,1,75,13805
"Alabama",1077,1,77,92729
"Alabama",1079,1,79,32924
"Alabama",1081,1,81,164542
"Alabama",1083,1,83,98915
"Alabama",1085,1,85,9726
"Alabama",1087,1,87,18068
"Alabama",1089,1,89,372909
"Alabama",1091,1,91,18863
"Alabama",1093,1,93,29709
"Alabama",1095,1,95,96774
"Alabama",1097,1,97,413210
"Alabama",1099,1,99,20733
"Alabama",1101,1,101,226486
"Alabama",1103,1,103,119679
"Alabama",1105,1,105,8923
"Alabama",1107,1,107,19930
"Alabama",1109,1,109,33114
"Alabama",1111,1,111,22722
"Alabama",1113,1,113,57961
"Alabama",1115,1,115,89512
"Alabama",1117,1,117,217702
"Alabama",1119,1,119,12427
"Alabama",1121,1,121,79978
"Alabama",1123,1,123,40367
"Alabama",1125,1,125,209355
"Alabama",1127,1,127,63521
"Alabama",1129,1,129,16326
"Alabama",1131,1,131,10373
"Alabama",1133,1,133,23629
"Alaska",2000,2,0,731545
"Alaska",2013,2,13,3337
"Alaska",2016,2,16,5634
"Alaska",2020,2,20,288000
"Alaska",2050,2,50,18386
"Alaska",2060,2,60,836
